"RingNumber","ExpScore","Sequence","Sex","TimeAfterSunrise","Species","BroodID","SubplotYear"
"C5H7081",6,1,0.5,8.05,1,2276,"F22023"
"C5H7082",82,2,-0.5,3.33333333333333,1,2623,"F22024"
"C5H7082",76,1,-0.5,9.18333333333333,1,2276,"F22023"
"C5H7087",75,1,0.5,3.78333333333333,1,2444,"C12024"
"C5H7101",80,2,0.5,3.08333333333333,1,2457,"C12024"
"C5H7101",72,1,0.5,3.01666666666667,1,2016,"C12023"
"C5H7114",64,1,0.5,3.3,1,2124,"D22023"
"C5H7115",86,2,-0.5,3.15,1,2760,"D22024"
"C5H7115",79,1,-0.5,6.01666666666667,1,2105,"D22023"
"C5H7139",74,1,-0.5,2.33333333333333,1,2113,"D22023"
"C5H7141",64,1,-0.5,6.3,1,2310,"F22023"
"C5H7142",40,1,0.5,6.55,1,2287,"F22023"
"C5H7143",2,2,0.5,6.53333333333333,1,2652,"F22024"
"C5H7143",70,1,0.5,7.11666666666667,1,2310,"F22023"
"C5H7144",72,1,0.5,10.0333333333333,1,2138,"E12023"
"C5H7147",50,1,0.5,2.41666666666667,1,2418,"A22024"
"C5H7147",57,2,0.5,2.68333333333333,1,3241,"A22025"
"C5H7150",63,1,-0.5,2.3,1,2202,"E22023"
"C5H7151",47,2,0.5,4.68333333333333,1,2344,"A12024"
"C5H7151",45,1,0.5,6.4,1,1833,"A12023"
"C5H7208",65,1,-0.5,7.38333333333333,1,1905,"B22023"
"C5H7209",37,1,0.5,3.26666666666667,1,2074,"D12023"
"C5H7213",89,1,-0.5,6.03333333333333,1,2114,"D22023"
"C5H7213",78,2,-0.5,4.81666666666667,1,2755,"D12024"
"C5H7214",41,2,-0.5,5.15,1,2757,"D12024"
"C5H7214",46,1,-0.5,6.45,1,2313,"D22023"
"C5H7228",83,1,0.5,3.4,1,2121,"D22023"
"C5H7237",78,1,0.5,4.56666666666667,1,2290,"F22023"
"C5H7238",108,1,-0.5,4.56666666666667,1,2290,"F22023"
