"BroodID","year","weight","brood_size","TimeAfterSunrise","Doublebox","Species","TreatmentB","TreatmentG","Ha","Type","SPY","Subplot"
1898,2023,11.14,7,11.6666666666667,0,"B",0,0,5.98,"chick2","B12023","B1"
1898,2023,11.61,7,11.6666666666667,0,"B",0,0,5.98,"chick2","B12023","B1"
1898,2023,11.81,7,11.6666666666667,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,10.17,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,10.35,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,11.08,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,10.36,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,11.26,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,10.46,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,11.11,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,10.19,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1900,2023,10.46,9,8.93333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1902,2023,10.5,7,12.1333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1902,2023,10.7,7,12.1333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1902,2023,10.29,7,12.1333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1902,2023,11.26,7,12.1333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1902,2023,10.93,7,12.1333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1902,2023,11.83,7,12.1333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1902,2023,11.28,7,12.1333333333333,0,"B",0,0,5.98,"chick2","B12023","B1"
1903,2023,17.3,5,11.15,0,"G",0,0,5.98,"chick2","B12023","B1"
1903,2023,14.53,5,11.15,0,"G",0,0,5.98,"chick2","B12023","B1"
1903,2023,15.2,5,11.15,0,"G",0,0,5.98,"chick2","B12023","B1"
1903,2023,14.64,5,11.15,0,"G",0,0,5.98,"chick2","B12023","B1"
1903,2023,13.65,5,11.15,0,"G",0,0,5.98,"chick2","B12023","B1"
1904,2023,11.87,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1904,2023,11.03,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1904,2023,11.03,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1904,2023,11.4,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1904,2023,11.89,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1904,2023,11.49,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1904,2023,10.58,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1904,2023,12.08,8,9.45,0,"B",1,0,6.13,"chick2","B22023","B2"
1913,2023,10.96,4,4.73333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1913,2023,10.54,4,4.73333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1913,2023,10.78,4,4.73333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1913,2023,11.01,4,4.73333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1914,2023,12.2,4,9.25,0,"B",1,0,6.13,"chick2","B22023","B2"
1914,2023,11.54,4,9.25,0,"B",1,0,6.13,"chick2","B22023","B2"
1914,2023,12.05,4,9.25,0,"B",1,0,6.13,"chick2","B22023","B2"
1914,2023,11.71,4,9.25,0,"B",1,0,6.13,"chick2","B22023","B2"
1926,2023,10.88,3,6.25,0,"B",0,0,5.98,"chick2","B12023","B1"
1926,2023,11.81,3,6.25,0,"B",0,0,5.98,"chick2","B12023","B1"
1926,2023,10.47,3,6.25,0,"B",0,0,5.98,"chick2","B12023","B1"
1928,2023,15.83,5,7.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1928,2023,16.51,5,7.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1928,2023,17.03,5,7.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
