"","BroodID","RingNumber","year","Species","Type","Sex","nSamples","AdateSample","timeSample","tube_ID","lab_ID","ClutchNumber","SubplotYear","TreatmentB","TreatmentG","Doublebox","ExpScore","TimeAfterSunrise","Sequence","WithinNestRep"
"474",2473,"C5H8239",2024,1,"AF",0,1,47,"10:47","C_54_2","ND_1192",1,"C12024",1,0,0,35,5.25,1,"2473_AF"
"475",2474,"C3F7460",2024,1,"AM",1,1,40,"11:58","C_55_1","ND_1095",1,"C12024",1,0,0,66,6.28333333333333,2,"2474_AM"
"476",2474,"C5H8134",2024,1,"AF",0,1,40,"11:10","C_55_2","ND_1085",1,"C12024",1,0,0,86,5.48333333333333,1,"2474_AF"
"477",2474,NA,2024,1,"chick2",2,1,44,"08:28","C_55_4","ND_1208",1,"C12024",1,0,0,NA,NA,NA,"2474_chick2"
"478",2474,NA,2024,1,"chick1",2,1,40,"12:48","C_55_3","ND_1175",1,"C12024",1,0,0,NA,NA,NA,"2474_chick1"
"479",2053,"C3M0335",2023,1,"AF",0,1,58,"07:10","C_57_2","ND_0776",1,"C22023",0,1,0,68,4,2,"2053_AF"
"480",2054,NA,2023,1,"chick1",2,2,57,"16:12","C_58_3","ND_0341",1,"C22023",0,1,0,NA,NA,NA,"2054_chick1"
"481",2054,"B5K0550",2023,2,"AM",1,1,57,"14:46","C_58_1","ND_0359",1,"C22023",0,1,0,36,9.4,1,"2054_AM"
"482",2055,"C5H7471",2023,1,"AF",0,1,62,"08:56","C_59_2","ND_0696",1,"C22023",0,1,0,70,3.63333333333333,1,"2055_AF"
"483",2055,NA,2023,1,"chick1",2,2,62,"10:01","C_59_3","ND_0675",1,"C22023",0,1,0,NA,NA,NA,"2055_chick1"
"484",2055,"C3F7448",2023,1,"AM",1,1,62,"09:54","C_59_1","ND_0691",1,"C22023",0,1,0,65,4.6,1,"2055_AM"
"485",2056,NA,2023,2,"chick1",2,4,57,"16:01","C_60_3B","ND_0342",1,"C22023",0,1,0,NA,NA,NA,"2056_chick1"
"486",2056,"B5K0551",2023,2,"AF",0,1,57,"15:28","C_60_2","ND_0373",1,"C22023",0,1,0,54,10.1,1,"2056_AF"
"487",2479,NA,2024,1,"chick1",2,3,46,"10:00","C_60_3","ND_1204",1,"C22024",0,1,0,NA,NA,NA,"2479_chick1"
"488",2479,NA,2024,1,"chick2",2,2,50,"12:32","C_60_4","ND_1268",1,"C22024",0,1,0,NA,NA,NA,"2479_chick2"
"489",2479,"C3F7525",2024,1,"AM",1,1,46,"08:59","C_60_1","ND_1224",1,"C22024",0,1,0,93,3.43333333333333,1,"2479_AM"
"490",2059,"C5H7843",2023,1,"AM",1,1,63,"08:02","C_63_1","ND_0590",1,"C22023",0,1,0,NA,NA,NA,"2059_AM"
"491",2482,"B5K0014",2024,2,"AF",0,1,40,"11:59","C_63_2","ND_1094",1,"C22024",0,1,0,30,6.3,1,"2482_AF"
"492",2482,NA,2024,2,"chick1",2,2,40,"12:34","C_63_3","ND_1029",1,"C22024",0,1,0,NA,NA,NA,"2482_chick1"
"493",2060,NA,2023,1,"chick2",2,2,59,"08:31","C_64_4B","ND_0498",1,"C22023",0,1,0,NA,NA,NA,"2060_chick2"
"494",2060,NA,2023,1,"chick1",2,1,55,"09:56","C_64_3","ND_0281",1,"C22023",0,1,0,NA,NA,NA,"2060_chick1"
"495",2483,NA,2024,2,"chick2",2,4,47,"12:20","C_64_4","ND_1194",1,"C22024",0,1,0,NA,NA,NA,"2483_chick2"
"496",2483,NA,2024,2,"chick1",2,1,42,"09:53","C_64_3A","ND_0975",1,"C22024",0,1,0,NA,NA,NA,"2483_chick1"
"497",2060,"C3F7445",2023,1,"AF",0,1,55,"09:54","C_64_2","ND_0309",1,"C22023",0,1,0,81,4.5,2,"2060_AF"
"498",2483,NA,2024,2,"chick1",2,1,42,"09:53","C_64_3B","ND_0938",1,"C22024",0,1,0,NA,NA,NA,"2483_chick1"
"499",2484,"C5A0901",2024,1,"AM",1,1,45,"09:38","C_65_1","ND_1249",1,"C12024",1,0,0,34,3.95,3,"2484_AM"
"500",2484,NA,2024,1,"chick1",2,2,45,"10:37","C_65_3","ND_1221",1,"C12024",1,0,0,NA,NA,NA,"2484_chick1"
"501",2062,NA,2023,2,"chick2",2,NA,64,"08:08","C_65a_4","ND_0589",1,"C12023",1,1,1,NA,NA,NA,"2062_chick2"
"502",2063,"C5H7065",2023,1,"AF",0,1,51,"12:01","C_66_2","ND_0142",1,"C12023",1,1,0,73,6.55,1,"2063_AF"
"503",2063,NA,2023,1,"chick1",2,1,51,"13:00","C_66_3C","ND_0143",1,"C12023",1,1,0,NA,NA,NA,"2063_chick1"
"504",2063,NA,2023,1,"chick1",2,2,51,"13:00","C_66_3B","ND_0144",1,"C12023",1,1,0,NA,NA,NA,"2063_chick1"
"505",2064,"C5A0627",2023,1,"AF",0,1,60,"08:45","C_67_2","ND_0517",1,"C22023",0,1,0,45,3.41666666666667,2,"2064_AF"
"506",2066,NA,2023,1,"chick2",2,1,63,"07:45","C_69_4","ND_0575",1,"C22023",0,1,0,NA,NA,NA,"2066_chick2"
"507",2488,NA,2024,2,"chick2",2,3,43,"13:50","C_69_4","ND_0983",1,"C22024",0,1,0,NA,NA,NA,"2488_chick2"
"508",2066,"C5H7355",2023,1,"AF",0,1,60,"09:17","C_69_2","ND_0560",1,"C22023",0,1,0,55,3.43333333333333,1,"2066_AF"
"509",2488,"B5G7284",2024,2,"AF",0,1,38,"08:50","C_69_2","ND_0915",1,"C22024",0,1,0,58,3.1,2,"2488_AF"
