"","beta_0","beta_0_prop","V_brood","V_wnr","V_e","VC_brood","VC_wnr","VC_e","phi","pi","beta_0_w","beta_0_w_prob","b[1]","b[2]","b[3]","b[4]","b[5]","b_int[1]","b_int[2]","b_int[3]","b_int[4]","V_spy_w","V_e_w","VC_spy_w","VC_e_w","bluetit_effect","greattit_effect","estimate1","estimate2","estimate3","estimate4","sel_bluetit_effect","sel_greattit_effect","sel_1","sel_2","sel_3","sel_4"
"mean",1.899,0.869,0.114,1.54,0.056,0.067,0.897,0.036,1.891,0.979,2.208,0.889,0.101,0.829,-0.069,0.418,0.879,0.079,0.196,-0.133,0.192,1.196,3.29,0.218,0.782,0.05,-0.018,0.889,0.875,0.942,0.921,0.007,0.026,0.01,0.031,0.011,0.043
"2.5%",1.615,0.834,0,0.798,0.039,0,0.67,0.016,1.246,0.957,1.032,0.737,-1.224,-0.589,-1.412,-1.171,-0.382,-1.59,-1.714,-1.732,-1.744,0.003,3.29,0.001,0.411,-0.067,-0.152,0.737,0.684,0.828,0.732,-0.172,-0.189,-0.149,-0.222,-0.131,-0.243
"50%",1.898,0.87,0.061,1.505,0.055,0.037,0.925,0.033,1.839,0.98,2.196,0.9,0.1,0.829,-0.087,0.419,0.876,0.087,0.194,-0.139,0.198,0.782,3.29,0.192,0.808,0.046,-0.012,0.9,0.891,0.953,0.94,0.006,0.031,0.009,0.034,0.008,0.057
"97.5%",2.204,0.901,0.506,2.472,0.075,0.289,0.977,0.07,2.857,0.993,3.395,0.968,1.455,2.279,1.399,2.052,2.161,1.696,2.064,1.538,2.116,4.708,3.29,0.589,0.999,0.179,0.092,0.968,0.976,0.99,0.994,0.182,0.215,0.171,0.26,0.158,0.273
"n_eff",4556.298,4676.983,1261.879,1807.669,3693.756,1196.024,1185.335,2178.703,2188.465,20007.764,9112.364,8709.443,4481.495,12081.1,10657.853,15190.856,11768.695,5789.447,2937.644,11989.262,4379.343,5176.01,2.001,4113.164,4113.164,11570.227,10646.546,8709.443,10659.115,10992.777,9778.214,5720.289,2390.836,5016.683,2315.103,4627.777,1774.636
"Rhat",1,1,1.005,1.003,1.001,1.006,1.006,1.002,1.002,1,1,1,1.001,1,1,1,1,1,1.001,1,1.001,1.001,1,1.002,1.002,1,1,1,1,1,1,1,1.001,1,1.001,1,1.002
