"","beta_0","beta_0_prop","V_brood","V_wnr","V_e","VC_brood","VC_wnr","VC_e","phi","pi","beta_0_w_u","b_u[1]","b_u[2]","b_u[3]","b_u[4]","b_u[5]","b_u[6]","b_u[7]","b_int_u[1]","b_int_u[2]","b_int_u[3]","b_int_u[4]","V_spy_w","V_e_w","VC_spy_w","VC_e_w","bluetit_effect","greattit_effect","estimate1","estimate2","estimate3","estimate4","sel_bluetit_effect","sel_greattit_effect","sel_1","sel_2","sel_3","sel_4"
"mean",1.974,0.877,0.031,1.805,0.058,0.017,0.947,0.035,1.986,0.972,8.252,2.236,0.426,-1.648,5.369,-1.469,0.121,9.696,0.064,5.695,-3.297,2.453,0.015,0.082,0.147,0.853,-1.223,-3.297,8.252,6.604,8.678,3.732,0.194,-0.802,1.805,0.346,1.342,1.197
"2.5%",1.631,0.836,0,0.834,0.036,0,0.848,0.012,1.135,0.944,1.829,-34.13,-5.095,-7.438,-1.212,-5.384,-0.602,9.004,-35.08,-39.2,-11.144,-36.858,0,0.03,0.001,0.52,-5.504,-7.443,1.829,0.183,2.736,-3.571,-16.954,-16.947,-15.601,-21.567,-21.884,-31.177
"50%",1.966,0.877,0.013,1.734,0.058,0.007,0.957,0.032,1.862,0.974,8.198,1.802,0.525,-1.602,5.418,-1.456,0.117,9.696,0.04,7.541,-3.342,2.53,0.01,0.083,0.114,0.886,-1.198,-3.248,8.198,6.599,8.66,3.682,0.066,0.671,0.131,0.827,0.092,1.059
"97.5%",2.359,0.914,0.18,3.183,0.083,0.104,0.984,0.079,3.557,0.991,14.997,38.538,5.347,3.786,11.86,2.473,0.854,10.377,35.604,45.638,5.057,41.368,0.055,0.128,0.48,0.999,2.763,0.539,14.997,13.129,14.732,11.128,18.229,18.082,16.943,23.878,23.663,34.926
"n_eff",3300.726,3522.229,1307.069,1458.413,2680.013,1307.876,1438.484,1718.918,1457.604,17320.626,4336.356,1817.841,4253.56,4241.711,10286.781,7447.108,10576.433,7099.528,3490.178,1408.576,4248.325,4187.203,3122.328,634.12,1244.22,1244.22,9295.726,8522.472,4336.356,8832.551,8263.825,7737.16,11178.033,12083.143,12356.52,12378.772,12285.431,12488.066
"Rhat",1.002,1.002,1.006,1.006,1.003,1.005,1.006,1.005,1.005,1,1,1.002,1,1,1,1.001,1,1,1.001,1.003,1,1.001,1.002,1.01,1.006,1.006,1,1,1,1,1,1,1,1,1,1,1,1
