"","beta_0w_Lepidoptera","beta_0w_Diptera","beta_0w_Araneae","beta_0w_Hymenoptera","beta_0w_Coleoptera","mean_w_Lepidoptera","mean_w_Diptera","mean_w_Araneae","mean_w_Hymenoptera","mean_w_Coleoptera","mean_w_zi_Lepidoptera","mean_w_zi_Diptera","mean_w_zi_Araneae","mean_w_zi_Hymenoptera","mean_w_zi_Coleoptera","bw[1,1]","bw[1,2]","bw[1,3]","bw[1,4]","bw[1,5]","bw[1,6]","bw[1,7]","bw[1,8]","bw[1,9]","bw[2,1]","bw[2,2]","bw[2,3]","bw[2,4]","bw[2,5]","bw[2,6]","bw[2,7]","bw[2,8]","bw[2,9]","bw[3,1]","bw[3,2]","bw[3,3]","bw[3,4]","bw[3,5]","bw[3,6]","bw[3,7]","bw[3,8]","bw[3,9]","bw[4,1]","bw[4,2]","bw[4,3]","bw[4,4]","bw[4,5]","bw[4,6]","bw[4,7]","bw[4,8]","bw[4,9]","bw[5,1]","bw[5,2]","bw[5,3]","bw[5,4]","bw[5,5]","bw[5,6]","bw[5,7]","bw[5,8]","bw[5,9]","bw_int[1,1]","bw_int[2,1]","bw_int[3,1]","bw_int[4,1]","bw_int[5,1]","V_brood_w_Lepidoptera","V_brood_w_Diptera","V_brood_w_Araneae","V_brood_w_Hymenoptera","V_brood_w_Coleoptera","V_wnr_w_Lepidoptera","V_wnr_w_Diptera","V_wnr_w_Araneae","V_wnr_w_Hymenoptera","V_wnr_w_Coleoptera","V_spy_w_Lepidoptera","V_spy_w_Diptera","V_spy_w_Araneae","V_spy_w_Hymenoptera","V_spy_w_Coleoptera","V_sp_w_Lepidoptera","V_sp_w_Diptera","V_sp_w_Araneae","V_sp_w_Hymenoptera","V_sp_w_Coleoptera","V_e_w_Lepidoptera","V_e_w_Diptera","V_e_w_Araneae","V_e_w_Hymenoptera","V_e_w_Coleoptera","VC_brood_w_Lepidoptera","VC_brood_w_Diptera","VC_brood_w_Araneae","VC_brood_w_Hymenoptera","VC_brood_w_Coleoptera","VC_wnr_w_Lepidoptera","VC_wnr_w_Diptera","VC_wnr_w_Araneae","VC_wnr_w_Hymenoptera","VC_wnr_w_Coleoptera","VC_spy_w_Lepidoptera","VC_spy_w_Diptera","VC_spy_w_Araneae","VC_spy_w_Hymenoptera","VC_spy_w_Coleoptera","VC_sp_w_Lepidoptera","VC_sp_w_Diptera","VC_sp_w_Araneae","VC_sp_w_Hymenoptera","VC_sp_w_Coleoptera","VC_e_w_Lepidoptera","VC_e_w_Diptera","VC_e_w_Araneae","VC_e_w_Hymenoptera","VC_e_w_Coleoptera","phi_w_Lepidoptera","phi_w_Diptera","phi_w_Araneae","phi_w_Hymenoptera","phi_w_Coleoptera","pi_w_Lepidoptera","pi_w_Diptera","pi_w_Araneae","pi_w_Hymenoptera","pi_w_Coleoptera","bluetit_effect_Lepidoptera","bluetit_effect_Diptera","bluetit_effect_Araneae","bluetit_effect_Hymenoptera","bluetit_effect_Coleoptera","greattit_effect_Lepidoptera","greattit_effect_Diptera","greattit_effect_Araneae","greattit_effect_Hymenoptera","greattit_effect_Coleoptera","estimate1_Lepidoptera","estimate1_Diptera","estimate1_Araneae","estimate1_Hymenoptera","estimate1_Coleoptera","estimate2_Lepidoptera","estimate2_Diptera","estimate2_Araneae","estimate2_Hymenoptera","estimate2_Coleoptera","estimate3_Lepidoptera","estimate3_Diptera","estimate3_Araneae","estimate3_Hymenoptera","estimate3_Coleoptera","estimate4_Lepidoptera","estimate4_Diptera","estimate4_Araneae","estimate4_Hymenoptera","estimate4_Coleoptera","estimateF_Lepidoptera","estimateF_Diptera","estimateF_Araneae","estimateF_Hymenoptera","estimateF_Coleoptera","estimateM_Lepidoptera","estimateM_Diptera","estimateM_Araneae","estimateM_Hymenoptera","estimateM_Coleoptera","estimateC10_Lepidoptera","estimateC10_Diptera","estimateC10_Araneae","estimateC10_Hymenoptera","estimateC10_Coleoptera","estimateC15_Lepidoptera","estimateC15_Diptera","estimateC15_Araneae","estimateC15_Hymenoptera","estimateC15_Coleoptera","estimateA_Lepidoptera","estimateA_Diptera","estimateA_Araneae","estimateA_Hymenoptera","estimateA_Coleoptera","estimateC_Lepidoptera","estimateC_Diptera","estimateC_Araneae","estimateC_Hymenoptera","estimateC_Coleoptera","diffA_Lepidoptera","diffA_Diptera","diffA_Araneae","diffA_Hymenoptera","diffA_Coleoptera","diffC_Lepidoptera","diffC_Diptera","diffC_Araneae","diffC_Hymenoptera","diffC_Coleoptera","diffT_Lepidoptera","diffT_Diptera","diffT_Araneae","diffT_Hymenoptera","diffT_Coleoptera"
"mean",-0.013,-1.087,-1.653,-1.617,-1.196,0.387,0.373,0.127,0.158,0.254,0.369,0.321,0.081,0.099,0.155,-0.19,-0.369,-0.253,-0.212,-0.125,-0.426,-0.299,-0.019,-0.235,0.15,0.086,0.119,0.059,-0.017,0.928,0.844,0.01,0.046,-0.304,-0.272,-0.08,0.075,-0.01,-0.389,-0.348,0.015,0.406,-0.206,0.116,0.085,0.077,-0.236,-0.16,-0.093,0.013,0.19,0.381,0.05,0.241,-0.335,0.228,-0.344,-0.261,0.006,0.164,0.357,-0.221,0.242,0.009,-0.199,0.028,0.018,0.011,0.011,0.021,0.525,0.018,0.01,0.009,0.015,0.038,0.028,0.018,0.014,0.05,0.042,0.024,0.017,0.014,0.059,0.082,0.116,0.022,0.032,0.066,0.041,0.083,0.133,0.12,0.1,0.723,0.081,0.122,0.106,0.073,0.051,0.121,0.19,0.148,0.215,0.056,0.096,0.18,0.144,0.23,0.129,0.619,0.375,0.481,0.383,1.68,0.927,2.983,2.166,1.275,0.953,0.86,0.639,0.628,0.609,-0.003,0.008,-0.022,-0.027,0.055,-0.046,-0.005,-0.018,0.016,-0.011,0.497,0.254,0.163,0.167,0.235,0.407,0.271,0.129,0.184,0.244,0.45,0.284,0.126,0.141,0.31,0.448,0.258,0.122,0.157,0.279,0.497,0.254,0.163,0.167,0.235,0.466,0.251,0.161,0.137,0.278,0.393,0.461,0.116,0.147,0.18,0.424,0.44,0.121,0.155,0.192,0.481,0.253,0.162,0.152,0.256,0.409,0.451,0.119,0.151,0.186,0.031,0.003,0.002,0.03,-0.043,-0.03,0.02,-0.005,-0.008,-0.012,0.073,-0.198,0.043,0.001,0.07
"2.5%",-0.469,-1.519,-2.052,-2.006,-1.676,0.365,0.345,0.109,0.136,0.225,0.347,0.295,0.069,0.084,0.135,-0.698,-0.882,-0.494,-0.721,-0.502,-0.795,-0.68,-0.041,-0.716,-0.327,-0.377,-0.072,-0.415,-0.344,0.582,0.447,-0.011,-0.377,-0.74,-0.7,-0.272,-0.359,-0.32,-0.717,-0.736,-0.006,-0.019,-0.644,-0.314,-0.109,-0.373,-0.572,-0.528,-0.462,-0.01,-0.234,-0.183,-0.539,-0.022,-0.824,-0.112,-0.737,-0.674,-0.018,-0.312,-0.394,-0.834,-0.37,-0.598,-0.973,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.107,0.017,0.025,0.056,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.056,0.307,0.101,0.171,0.132,1.31,0.819,2.461,1.782,1.078,0.932,0.827,0.595,0.584,0.564,-0.097,-0.059,-0.06,-0.071,-0.028,-0.138,-0.074,-0.055,-0.027,-0.093,0.385,0.18,0.114,0.119,0.158,0.301,0.196,0.092,0.13,0.161,0.337,0.2,0.085,0.092,0.212,0.326,0.18,0.082,0.106,0.182,0.385,0.18,0.114,0.119,0.158,0.354,0.18,0.115,0.095,0.194,0.291,0.361,0.079,0.099,0.114,0.314,0.333,0.079,0.105,0.12,0.377,0.186,0.117,0.111,0.181,0.31,0.356,0.083,0.108,0.122,-0.063,-0.062,-0.041,-0.014,-0.11,-0.118,-0.069,-0.045,-0.057,-0.084,0.003,-0.261,0.012,-0.033,0.02
"50%",-0.009,-1.087,-1.654,-1.623,-1.203,0.387,0.373,0.127,0.157,0.254,0.369,0.321,0.081,0.099,0.155,-0.191,-0.372,-0.253,-0.218,-0.124,-0.421,-0.305,-0.019,-0.233,0.15,0.089,0.119,0.062,-0.016,0.928,0.846,0.011,0.043,-0.303,-0.274,-0.079,0.073,-0.01,-0.391,-0.35,0.015,0.41,-0.207,0.12,0.087,0.076,-0.235,-0.161,-0.096,0.013,0.189,0.386,0.053,0.239,-0.338,0.226,-0.341,-0.261,0.006,0.168,0.368,-0.233,0.247,0.002,-0.204,0.014,0.009,0.005,0.005,0.009,0.507,0.008,0.004,0.004,0.007,0.019,0.014,0.007,0.006,0.029,0.019,0.009,0.006,0.006,0.029,0.082,0.116,0.022,0.032,0.066,0.02,0.046,0.078,0.067,0.053,0.743,0.044,0.066,0.056,0.036,0.028,0.079,0.121,0.085,0.164,0.029,0.05,0.112,0.082,0.176,0.119,0.623,0.345,0.466,0.359,1.654,0.926,2.972,2.157,1.269,0.954,0.86,0.639,0.629,0.609,-0.003,0.007,-0.021,-0.027,0.054,-0.045,-0.005,-0.018,0.017,-0.009,0.498,0.252,0.161,0.165,0.231,0.405,0.269,0.127,0.182,0.242,0.449,0.282,0.124,0.14,0.307,0.448,0.255,0.12,0.154,0.275,0.498,0.252,0.161,0.165,0.231,0.465,0.249,0.159,0.135,0.274,0.393,0.459,0.115,0.145,0.177,0.424,0.439,0.119,0.153,0.188,0.482,0.25,0.16,0.15,0.253,0.409,0.45,0.118,0.15,0.183,0.03,0.003,0.001,0.029,-0.042,-0.031,0.021,-0.004,-0.008,-0.012,0.073,-0.197,0.043,0.002,0.069
"97.5%",0.427,-0.66,-1.248,-1.216,-0.701,0.412,0.402,0.148,0.181,0.285,0.393,0.349,0.096,0.116,0.178,0.34,0.157,-0.023,0.309,0.256,-0.055,0.093,0.004,0.216,0.625,0.548,0.319,0.513,0.33,1.276,1.221,0.032,0.477,0.112,0.149,0.105,0.508,0.313,-0.063,0.042,0.036,0.831,0.231,0.54,0.273,0.512,0.107,0.192,0.278,0.035,0.621,0.914,0.597,0.505,0.168,0.582,0.063,0.134,0.029,0.649,1.027,0.437,0.852,0.633,0.593,0.126,0.086,0.055,0.055,0.106,0.984,0.088,0.048,0.046,0.073,0.184,0.133,0.095,0.077,0.218,0.217,0.136,0.098,0.075,0.293,0.098,0.126,0.028,0.041,0.078,0.191,0.342,0.531,0.492,0.439,0.893,0.352,0.504,0.455,0.344,0.229,0.448,0.672,0.586,0.657,0.257,0.445,0.68,0.574,0.707,0.264,0.905,0.799,0.866,0.767,2.223,1.045,3.552,2.593,1.509,0.971,0.89,0.681,0.672,0.653,0.088,0.08,0.013,0.017,0.142,0.046,0.06,0.017,0.059,0.069,0.605,0.341,0.223,0.229,0.332,0.522,0.351,0.179,0.252,0.337,0.572,0.381,0.174,0.201,0.425,0.565,0.351,0.173,0.221,0.395,0.605,0.341,0.223,0.229,0.332,0.582,0.337,0.216,0.19,0.379,0.501,0.567,0.162,0.207,0.269,0.538,0.551,0.175,0.215,0.288,0.581,0.333,0.216,0.204,0.35,0.507,0.55,0.162,0.204,0.269,0.124,0.065,0.045,0.076,0.022,0.059,0.106,0.033,0.041,0.057,0.142,-0.135,0.077,0.035,0.124
"n_eff",2644.249,2609.897,3056.756,2980.514,2866.069,3554.569,4813.841,6298.835,6025.872,4907.279,3697.857,5339.173,6266.19,6530.726,5484.438,2424.453,2601.835,2821.697,5205.162,3929.848,3876.337,3794.711,4200.658,3787.985,3040.458,2458.771,4516.951,6360.808,4754.811,4815.447,4137.918,5617.238,4503.441,3859.406,2950.143,4452.503,7353.419,4566.604,4019.805,4213.429,4953.371,4848.524,3595.101,3183.897,4958.546,6307.4,4919.744,5098.561,4490.031,4725.805,4598.663,3040.045,2942.671,4511.193,8053.473,5799.228,6380.129,5243.5,5567.912,4033.038,2161.556,2476.315,3196.529,2756.197,2824.673,1245.847,2263.876,2738.575,2776.311,2073.808,500.445,2382.538,3507.351,4077.58,3113.392,1652.569,2037.342,2160.637,3402.615,1901.826,1745.519,1726.847,2422.046,3484.973,1470.709,557.93,5657.874,6954.394,7965.152,5465.386,1190.883,2240.73,2734.716,2945.511,2128.099,873.321,2184.411,3258.733,3953.095,2872.277,1537.67,2032.643,2506.46,3384.471,1713.899,1662.931,2032.929,2757.963,3123.994,1514.171,536.996,1988.76,2229.972,2836.173,1675.21,550.415,5829.118,6586.119,9343.255,5358.828,9196.926,8549.096,10791.714,9367.566,10507.012,3873.633,5141.316,4641.141,5382.685,4508.616,4652.146,4628.768,4429.366,5406.577,5125.478,2658.665,2618.649,3066.547,2915.842,2753.419,3461.018,4328.139,4459.32,4626.569,4334.235,4483.591,4930.264,4816.302,5177.591,4442.632,3494.125,3994.707,4087.441,4056.144,5049.415,2658.665,2618.649,3066.547,2915.842,2753.419,3337.47,3384.029,4283.332,4040.227,3306.48,2957.924,3336.047,3879.007,4218.794,3975.463,3278.182,3212.492,4487.136,4862.867,4033.743,2823.442,2738.79,3384.446,3132.741,2813.659,2822.565,3037.766,3926.831,4155.261,3573.249,3942.519,4771.678,4544.988,4407.669,5913.922,4944.111,6392.922,6670.061,7522.906,8725.796,4676.554,4921.558,4444.56,4918.044,4432.121
"Rhat",1.001,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1.001,1.001,1,1,1,1,1,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.001,1,1,0.999,0.999,0.999,0.999,0.999,1.001,1,1,0.999,0.999,0.999,1,0.999,1.001,1.001,1.001,1,1.001,1,1,1.001,0.999,1.001,1.001,1.009,1.001,1,1,1,1,1.001,1.002,0.999,1.001,1,1.001,1,1,1.002,1.009,1,1,1,1,1,1.002,1,1.001,1.001,1.004,1.001,1.001,1,1,1.001,1.001,1.001,0.999,1.001,1,1.001,1.001,1,1.002,1.011,1.001,1,1,1.001,1.009,1,1,1,1,1,0.999,1,0.999,0.999,0.999,1,1,1,1,1,0.999,1,1,1,1.001,1,1,0.999,1,1,1,1,1.001,1,0.999,0.999,0.999,0.999,1,1,1,1,1,0.999,1.001,1,1,0.999,1,1,1.001,1.001,0.999,1,1.001,1,1,1,0.999,1,0.999,1,0.999,1,1,1.001,1.001,0.999,1,1.001,1,1,1,1,1,1,1,0.999,0.999,1,1,1,1,0.999,1,0.999,1.001,0.999,1
