"","mu_u","be_u_Seq2","be_u_Seq3","be_u_Seq4","be_u_Time","V_i_u","V_spy_u","V_e_u","VC_i","VC_spy","VC_e","mu_w_propp1_B","mean_w_propp1_B","mean_w_zi_propp1_B","b1_u_propp1_B","b[1,1]","b[1,2]","b[1,3]","b[1,4]","b_int_u_propp1_B","V_wnr_w_propp1_B","V_spy_w_propp1_B","V_i_w_propp1_B","V_e_w_propp1_B","VC_wnr_w_propp1_B","VC_spy_w_propp1_B","VC_i_w_propp1_B","VC_e_w_propp1_B","phi_propp1_B","pi_propp1_B","estimate_LSC_propp1_B","slope_LSC_propp1_B"
"mean",51.593,10.032,12.616,17.075,-0.445,103.509,26.636,180.824,0.329,0.084,0.586,1.873,0.786,0.764,0.002,0.047,0.738,-0.07,-1.079,-0.053,2.216,0.163,0.151,0.048,0.858,0.062,0.059,0.021,3.04,0.973,0.927,-0.455
"2.5%",47.254,3.759,3.928,-1.843,-1.673,25.001,0.136,110.702,0.082,0,0.346,1.198,0.76,0.734,-0.149,-1.095,0.17,-0.129,-2.131,-0.217,1.095,0,0,0.028,0.637,0,0,0.008,1.579,0.947,0.864,-1.614
"50%",51.593,10.061,12.579,17.032,-0.441,99.976,20.86,176.821,0.332,0.069,0.582,1.87,0.786,0.765,0.007,0.071,0.734,-0.07,-1.081,-0.05,2.166,0.103,0.081,0.047,0.877,0.042,0.033,0.019,2.86,0.975,0.932,-0.441
"97.5%",55.959,16.125,21.386,35.547,0.755,199.651,86.678,276.539,0.555,0.25,0.854,2.558,0.81,0.792,0.124,1.061,1.325,-0.012,-0.035,0.095,3.632,0.651,0.672,0.072,0.977,0.231,0.253,0.047,5.546,0.991,0.967,0.636
"n_eff",11014.984,14762.513,14576.948,16975.908,15092.981,2452.33,2967.078,2311.941,2152.732,2834.235,1782.393,4843.923,12179.95,14876.417,7219.217,2749.648,7392.326,5558.363,5282.671,6168.921,1306.063,2865.785,1793.321,2466.739,1899.44,2685.197,1785.342,1627.697,1459.593,22296.644,4279.059,3281.41
"Rhat",1,1,1,1,1,1.001,1.002,1.001,1.001,1.002,1.002,1.001,1,1,1,1.001,1,1.001,1.001,1,1.007,1.001,1.002,1.003,1.002,1.001,1.002,1.004,1.007,1,1.002,1.001
