"","mu_u","be_u_Seq2","be_u_Seq3","be_u_Seq4","be_u_Time","V_i_u","V_spy_u","V_e_u","VC_i","VC_spy","VC_e","mu_w_propp1_G","mean_w_propp1_G","mean_w_zi_propp1_G","b1_u_propp1_G","b[1,1]","b[1,2]","b[1,3]","b[1,4]","b_int_u_propp1_G","V_wnr_w_propp1_G","V_spy_w_propp1_G","V_i_w_propp1_G","V_e_w_propp1_G","VC_wnr_w_propp1_G","VC_spy_w_propp1_G","VC_i_w_propp1_G","VC_e_w_propp1_G","phi_propp1_G","pi_propp1_G","estimate_LSC_propp1_G","slope_LSC_propp1_G"
"mean",62.58,-4.533,0.397,-8.987,1.532,38.111,32.469,396.263,0.081,0.068,0.851,0.778,0.658,0.623,0.233,-0.007,1.271,-0.099,-1.424,0.288,2.241,0.121,0.171,0.061,0.864,0.046,0.066,0.025,3.22,0.945,0.883,-0.212
"2.5%",57.875,-12.487,-10.761,-26.041,-0.005,0.079,0.125,285.773,0,0,0.626,0.305,0.633,0.592,-1.274,-1.65,0.758,-0.145,-2.298,-1.344,1.353,0,0,0.044,0.665,0,0,0.013,2.08,0.913,0.827,-2.557
"50%",62.552,-4.54,0.421,-9.019,1.529,26.504,24.903,394.515,0.058,0.055,0.867,0.779,0.658,0.623,-0.001,-0.005,1.272,-0.099,-1.428,-0.038,2.205,0.078,0.102,0.061,0.881,0.031,0.04,0.024,3.136,0.947,0.886,-0.247
"97.5%",67.421,3.191,11.348,8.303,3.092,138.085,110.588,518.247,0.283,0.214,0.99,1.248,0.684,0.653,1.448,1.651,1.784,-0.054,-0.541,1.364,3.321,0.49,0.686,0.079,0.971,0.172,0.253,0.044,4.817,0.97,0.927,2.339
"n_eff",10951.078,14094.529,16061.656,16101.404,17291.785,1953.245,3747.484,4269.415,1888.282,3542.895,2086.553,6598.588,9874.774,12563.477,12079.056,2917.956,6468.868,5862.493,6675.401,12601.909,1791.133,3716.065,1314.429,3437.427,1542.806,3585.436,1277.367,1980.481,2040.8,22066.706,7340.761,1960.507
"Rhat",1,1,1,1,1,1.001,1.001,1,1.002,1.001,1.001,1,1,1,1,1,1,1,1,1,1,1.001,1.002,1,1.002,1.001,1.001,1,1,1,1,1.001
