"","beta_0","beta_0_prop","V_brood","V_wnr","V_e","VC_brood","VC_wnr","VC_e","phi","pi","beta_0_w_u","b_u[1]","b_u[2]","b_u[3]","b_u[4]","b_u[5]","b_u[6]","b_u[7]","b_int_u[1]","b_int_u[2]","b_int_u[3]","b_int_u[4]","V_spy_w","V_brood_w","V_e_w","VC_brood_w","VC_spy_w","VC_e_w","bluetit_effect","greattit_effect","estimate1","estimate2","estimate3","estimate4","sel_bluetit_effect","sel_greattit_effect","sel_1","sel_2","sel_3","sel_4"
"mean",1.975,0.877,0.072,1.791,0.058,0.04,0.925,0.035,1.996,0.972,11.561,0.115,0.154,-0.154,0.555,-0.05,0.07,-0.112,-0.155,0.314,-0.342,0.072,0.139,0.372,0.508,0.362,0.13,0.508,-0.017,-0.325,11.561,11.407,11.716,11.22,1.347,0.807,-1.472,-1.86,-1.319,0.682
"2.5%",1.631,0.836,0,0.789,0.036,0,0.75,0.012,1.137,0.943,10.757,-1.917,-0.537,-0.893,-0.147,-0.574,-0.026,-0.196,-2.302,-2.125,-1.319,-2.108,0.007,0.142,0.454,0.172,0.007,0.374,-0.584,-0.896,10.757,10.545,10.901,10.269,-5.341,-5.664,-4.978,-7.57,-7.017,-10.114
"50%",1.97,0.878,0.033,1.722,0.058,0.018,0.945,0.031,1.871,0.974,11.564,0.111,0.158,-0.146,0.552,-0.056,0.069,-0.113,-0.181,0.387,-0.348,0.09,0.115,0.373,0.507,0.368,0.117,0.504,-0.014,-0.322,11.564,11.409,11.713,11.226,-0.057,0.149,0.039,0.226,-0.06,0.148
"97.5%",2.354,0.913,0.352,3.18,0.084,0.205,0.983,0.08,3.575,0.991,12.368,2.161,0.827,0.547,1.264,0.507,0.163,-0.025,2.075,2.506,0.656,2.198,0.42,0.591,0.568,0.511,0.336,0.666,0.543,0.213,12.368,12.258,12.538,12.14,5.681,5.558,5.184,7.39,6.618,9.844
"n_eff",4840.901,5031.706,1003.911,1504.771,3198.765,964.023,1014.847,1813.5,1810.298,24153.83,6757.928,1390.733,7059.11,7271.03,8800.099,8360.536,7679.052,7163.865,1397.562,1119.034,7093.884,4031.87,3408.94,871.027,17201.58,819.915,2419.448,1299.702,10045.834,9592.822,6757.928,8967.112,8346.685,8719.147,14261.131,12394.92,14130.042,14058.877,12493.103,13184.812
"Rhat",1,1,1.004,1.001,1,1.005,1.004,1,1.001,1,1,1.002,1,1,1.001,1,1,1,1.004,1.004,1,1,1,1.005,1,1.005,1,1.004,1,1,1,1,1,1,1,1,1,1,1,1
